X;Y;osm_id;ref_cnc;name;marque;wheelchair;opening_hours;open_air;drive_in;cinema3d;nb_screens;capacity;acoustic;website;phone;facebook;wikidata;siret;com_insee;com_nom
-1.2372358;43.1641822005399;node/4522090127;"394201";Le Vauban;;;;;;yes;"1";"300";;;;;;;"64485";Saint-Jean-Pied-de-Port
-0.0061826;46.267966400299;node/5472582580;;Chez Nous;;;;;;;;;;;;;;;"79148";Lezay
-0.7641002;47.3531899000862;node/4115072853;"94922";Espace Ciné;;;;;;no;"1";"274";;https://www.chalonnes-sur-loire.fr/culture-patrimoine/culture/cinema/;;;;;"49063";Chalonnes-sur-Loire
3.5474683;45.8557234003643;node/5250851417;"425783";Le Monaco;;;;;;yes;"3";"341";;;;;;"34904391900019";"63430";Thiers
-0.019361836798638;48.7454992090492;way/83676895;"23241";Le Normandy;;;;;;no;"3";"534";;;;;;;"61006";Argentan
4.3906038;45.4155047004233;node/3475038904;no;Gran Lux;;;;;;;;;;http://www.granlux.org;+33 4 77 25 44 82;legranlux;;;"42218";Saint-Étienne
2.22146952504094;48.642066875809;way/146090090;"246432";Salle Jean Montaru;;yes;;;;;;;;https://www.marcoussis.fr/-Cinema-Atmosphere-;;;;;"91363";Marcoussis
2.41438507042596;48.7661287087191;way/66143799;"112014";Théâtre-Cinéma Paul Éluard;Ville de Choisy-le-Roi;;;;;;;;;http://www.theatrecinemachoisy.fr/;;;;;"94022";Choisy-le-Roi
2.3281131;48.8839907997211;node/7768900435;"3222";Pathé Wepler;Pathé Gaumont;;;;;;"12";"2139";;http://www.cinemasgaumontpathe.com/cinemas/cinema-pathe-wepler/informations-pratiques.html;+33 1 43 87 34 63;PatheWepler;Q3368730;"38958984700067";"75056";Paris
4.3247804;46.1010753003265;node/7649509124;"125424";Salle Emilien Michoux;;;;;;yes;"1";"189";;;;;;;"69066";Cours
6.0176446;45.8160584003701;node/7731785978;6297601-;Salle Henri Chatenoud;Écran mobile 74;no;;;;;;;;http://www.al-alby.asso.fr/v3/cinema.html;;;;;"74002";Alby-sur-Chéran
-1.5053573;48.2130543998864;node/246829415;"226211";Cinéma Saint-Michel;;;;;;yes;"1";;;http://www.cinema-liffre.com/;;;;;"35152";Liffré
-1.2600455;49.6157899995419;node/4100139792;"336191";Le Richelieu;Cinéode;;;;;no;"2";"285";;https://www.cineode.fr/reville-richelieu/;+33 9 74 90 30 28;;Q97017093;;"50433";Réville
6.6046205;48.0119247999348;node/7956138759;;Cinéma Le Volontaire;Magestic;;;;;yes;"7";;;https://www.majestic-cinemas.com/le-france/;;;;;"88383";Remiremont
3.0056419;44.8556325004814;node/7649509131;"106582";Cinéma La Source;;;;;;no;"1";"250";;;;;;;"15045";Chaudes-Aigues
5.4388419;43.5248600005418;node/7643975416;"13454";Cinéma de la Manufacture;;;;;;no;"1";"165";;;;;;;"13001";Aix-en-Provence
2.3408453;48.8484019997299;node/1427978195;"741";Les 3 Luxembourg;;;;;;;;;;https://www.lestroisluxembourg.com/;+33 1 46 33 97 77;https://www.facebook.com/les3luxembourg/;Q3230330;;"75056";Paris
2.4394821;47.4883021000563;node/7557299488;"28732";Atomic Cinéma;;;;;;yes;"1";"163";;;;;;;"18015";Aubigny-sur-Nère
-3.4272929;48.4054553998394;node/1917787405;"82392";La Belle Équipe;;;;;;;;;;http://cineargoat.free.fr/;;;;;"22025";Callac
1.6289994;47.7774571999902;node/598690723;"44131";Le Dunois;;yes;;;;no;"1";"200";;https://www.beaugency.fr/actualite/sorties-cine/;+33 2 38 44 81 01;https://www.facebook.com/Cinema.LeDunois.Beaugency/;;"44075543700017";"45028";Beaugency
0.930154;48.7368011997576;node/3825111169;"448762";Le Trianon;;;;;;no;"1";"168";;;;;;;"27679";Verneuil d'Avre et d'Iton
1.89580295202676;44.8576303351033;way/1101404211;"377892";;;;;;;;;;;;;;;;"46251";Saint-Céré
-0.850036230868456;46.7736518900213;way/154170597;"323493";L'Échiquier;;;;;;yes;"1";"154";;https://www.echiquier-paysdepouzauges.fr/;+33 2 51 61 46 10;;;;"85182";Pouzauges
0.993345107917679;47.1297226544455;way/51978337;"230152";Cinéma Royal-Vigny;;yes;;;;yes;"2";"503";;;"+33247940689";;;;"37132";Loches
-0.5672036;48.7489744997546;node/10146891122;"160923";Les 4 Vikings;;;;;;yes;"4";"849";;https://www.les4vikings.fr;;;;;"61169";Flers
5.15472213067869;45.6116745579713;way/142127208;"456251";Le Fellini;;;;;;yes;"4";"600";;http://cinefellini.fr/;;;;"49171161000023";"38553";Villefontaine
0.5919644;44.6519440004977;node/1524915727;"88991";Ciné 4;;;;;;yes;"1";"205";;;;;;;"47057";Castillonnès
3.47415003219428;43.3110223858129;way/72092916;"11527";Le Travelling;;yes;;;;;;;voice_description;http://www.cineagde.com/;+33 4 67000271;;;;"34003";Agde
8.69978298593658;42.1148957630524;way/702075603;"451772";U Sampieru;;;;yes;;;"1";"300";;;;;;;2A348;Vico
6.19901820295407;49.132877310965;way/132438776;"395671";Kinepolis Saint-Julien-les-Metz;Kinepolis;;"Mo,Tu 13:15-00:00; We-Sa 13:15-01:00; Su 10:15-01:00";;no;yes;"14";"4058";;https://kinepolis.fr/cinemas/kinepolis-st-julien-les-metz;+33 3 87 75 84 50;https://www.facebook.com/kinepolis.metz;Q42295253;;"57616";Saint-Julien-lès-Metz
2.52478317020008;49.1006781412766;way/131925821;"166051";Cinéma de l'Ysieux;;;;;;;;;;https://cinema.roissypaysdefrance.fr/;;;;;"95250";Fosses
4.0401059;46.2766207002975;node/2682703202;"245911";Vox;;;;;;no;"1";"175";;http://cinema-vox.eklablog.fr/;;;;;"71275";Marcigny
4.8314443;45.7766424003757;node/4745574293;;Ciné-Café Aquarium;;;We-Sa 14:30-19:30;;;;;;;http://aquarium-cine-cafe.fr/;;;;"82068658200017";"69123";Lyon
6.5911572;46.1054755003258;node/7635174446;;Au Ciné ce soir;cinebus;;;;;;;;;https://mjctaninges.fr/cinebus-2/;+33 4 50 34 23 81;;;;"74276";Taninges
6.6378616;46.0264681003384;node/2722069636;"21571";Le Choucas;;;"""Ouverture variable suivant les vacances scolaires 17h30 et 20h30""";;;;;;;;;;;;"74014";Arâches-la-Frasse
6.6675929;43.9666327005337;node/4896723991;;Annot - Cinéma de Pays;;yes;;yes;;no;"1";;;https://cinemadepays.wixsite.com/cinema;+33 9 63 04 56 52;;;;"04008";Annot
4.3166447;45.5913696004011;node/1889459903;"386192";Le Colisee;;;;;;yes;"1";"202";;;;;;;"42222";Saint-Galmier
1.6764549;43.251724200541;node/7613303815;"254173";Cinémaz;;;;;;;;;;;;;;;"09185";Mazères
2.7159259;48.3997333998408;node/3824932171;"162853";Cinéparadis;;;;;;;;;;http://cineparadis.cineparadis.fr;+33 1 64 22 90 83;;;;"77186";Fontainebleau
9.3606207;41.6923573004614;node/7284298728;"470161";A Ruscana;;;;yes;;;"1";"250";;;;;;;2A362;Zonza
6.3108844;43.395648400542;node/7694760813;"235561";Le Cinéma;;;;;;;;;;https://www.mairie-leluc.com/cinema/;;;;;"83073";Le Luc
2.5054823;42.8108610005309;node/7626631574;"409463";Foyer Rural;;;;;;;;;;http://www.cinemaginaire.org/programme/saint-paul-de-fenouillet;;;;;"66187";Saint-Paul-de-Fenouillet
6.7064562;46.1794220003138;node/672810312;"279184";Rex;;;Mo-Su 15:00-22:30;;;;"1";;;;+33 4 50 79 03 05;https://fr-fr.facebook.com/cinemarexmorzine;;;"74191";Morzine
-1.0577129;47.7938918999863;node/1251367568;"334921";Vox;;yes;;;;yes;"1";"218";;http://renaze53.fr/culturesportsloisirs/cinema-vox/;;;;;"53188";Renazé
6.2326773;46.1912727003118;node/5535761551;"19983";Ciné Actuel;;;;;;;;;;http://www.cineactuel.fr;+33 4 50 92 10 20;;;;"74012";Annemasse
4.33958524461082;44.4531964459352;way/125682713;"347831";Le Foyer;;;;;;no;"1";"245";;;;;;;"07201";Ruoms
2.6496253;50.0025472994517;node/4192529345;"14033";Le Casino;;;;;;yes;"2";"360";;;;;;;"80016";Albert
4.36866593195993;43.830989251658;way/543774375;"291027";CGR Cinémas;CGR;;;;;;;;;https://www.cgrcinemas.fr/nimes;+33 4 66 05 58 20;https://www.facebook.com/CGRNimes;Q2931406;;"30189";Nîmes
2.37548507878704;48.8324385684776;way/62379531;"9600";MK2 Bibliothèque;MK2;yes;;;;yes;"16";"2981";;https://www.mk2.com/salle/bibliotheque;;mk2bibliotheque;Q3273025;;"75056";Paris
6.5944435;45.4319265004213;node/1109287023;no;;;;;;;;;;;;+33 4 79 08 40 40;;;;"73227";Courchevel
-2.83398184535658;48.6261389179213;way/85818141;"152732";Le Korrigan;;;;;;;;;;;;;;;"22055";Binic-Étables-sur-Mer
2.10716739657178;49.0436771489856;way/102465183;"408323";Utopia Saint-Ouen l'Aumone;Utopia;;;;;;;;;https://www.cinemas-utopia.org/saintouen/;+33 1 30 37 75 52;https://www.facebook.com/CinemaUtopia95/;Q3552766;;"95572";Saint-Ouen-l'Aumône
5.06493234436449;45.6303019589535;way/129153363;;Foyer Rural;;yes;;;;;"1";;;;+33 4 78 40 00 14;;;;"38189";Heyrieux
6.1611387;45.8316470003678;node/7731183615;"394522";Ciné Laudon;Écran mobile 74;;;;;;"1";"92";;http://www.cinelaudon.org;;Cinélaudon-156583371132624;Q61858838;;"74242";Saint-Jorioz
